employee_id;full_name;department;date;day_type;scheduled;status;absence;first_in;last_out;sessions;worked;worked_minutes;credited;credited_minutes;breaks;scheduled_minutes;late_minutes;early_leave_minutes;overtime_minutes
EMP-001;Иванов Иван Иванович;Склад;2026-09-21;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-001;Иванов Иван Иванович;Склад;2026-09-22;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-001;Иванов Иван Иванович;Склад;2026-09-23;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-001;Иванов Иван Иванович;Склад;2026-09-24;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-001;Иванов Иван Иванович;Склад;2026-09-25;рабочий;да;опоздание;;09:05;18:34;2;8:29;509;0:00;0;1:00;480;5;0;29
EMP-001;Иванов Иван Иванович;Склад;2026-09-26;праздник;нет;праздник;;;;0;0:00;0;0:00;0;0:00;0;0;0;0
EMP-001;Иванов Иван Иванович;Склад;2026-09-27;выходной;нет;выходной;;;;0;0:00;0;0:00;0;0:00;0;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-21;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-22;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-23;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-24;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-25;рабочий;да;отпуск;отпуск;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-26;праздник;нет;отпуск;отпуск;;;0;0:00;0;0:00;0;0:00;0;0;0;0
EMP-002;Петрова Анна Сергеевна;Офис;2026-09-27;выходной;нет;отпуск;отпуск;;;0;0:00;0;0:00;0;0:00;0;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-21;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-22;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-23;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-24;рабочий;да;отсутствие;;;;0;0:00;0;0:00;0;0:00;480;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-25;рабочий;да;опоздание;;08:03;17:30;1;8:27;507;0:00;0;1:00;480;3;0;27
EMP-003;Сидоров Пётр;Склад;2026-09-26;праздник;нет;праздник;;;;0;0:00;0;0:00;0;0:00;0;0;0;0
EMP-003;Сидоров Пётр;Склад;2026-09-27;выходной;нет;выходной;;;;0;0:00;0;0:00;0;0:00;0;0;0;0
